model,scenario,material,face_count_from_source,source_cell,recipe_mapping_status
型号A,来料单品检,大底座,检4个面,B9,未关联已发布配方
型号A,来料单品检,压缩端盖,检1个面,C9,未关联已发布配方
型号A,来料单品检,电机外壳,检1个面,E9,未关联已发布配方
型号A,来料单品检,冷指基座,检1个面,H9,未关联已发布配方
型号A,来料单品检,冷指保护筒,检1个面,I9,未关联已发布配方
型号A,来料单品检,阀钉,检1个面,J9,未关联已发布配方
型号A,装配前打包成组检,大底座,检4个面,K9,未关联已发布配方
型号A,装配前打包成组检,压缩端盖,检1个面,L9,未关联已发布配方
型号A,装配前打包成组检,电机外壳,检1个面,N9,未关联已发布配方
型号A,装配前打包成组检,阀钉,检1个面,P9,未关联已发布配方
型号A,入库前半成品检,大底座,检2个面,Q9,未关联已发布配方
型号A,入库前半成品检,阀钉,检1个面,T9,未关联已发布配方
型号B,来料单品检,大底座,检4个面,B10,未关联已发布配方
型号B,来料单品检,压缩端盖,检1个面,C10,未关联已发布配方
型号B,来料单品检,转子外罩,检1个面,D10,未关联已发布配方
型号B,来料单品检,冷指基座,检1个面,H10,未关联已发布配方
型号B,来料单品检,冷指保护筒,检1个面,I10,未关联已发布配方
型号B,来料单品检,阀钉,检1个面,J10,未关联已发布配方
型号B,装配前打包成组检,大底座,检4个面,K10,未关联已发布配方
型号B,装配前打包成组检,压缩端盖,检1个面,L10,未关联已发布配方
型号B,装配前打包成组检,转子外罩,检1个面,M10,未关联已发布配方
型号B,装配前打包成组检,阀钉,检1个面,P10,未关联已发布配方
型号B,入库前半成品检,大底座,检2个面,Q10,未关联已发布配方
型号B,入库前半成品检,阀钉,检1个面,T10,未关联已发布配方
型号C,来料单品检,大底座,检4个面,B11,未关联已发布配方
型号C,来料单品检,压缩端盖,检1个面,C11,未关联已发布配方
型号C,来料单品检,转子外罩,检1个面,D11,未关联已发布配方
型号C,来料单品检,冷指基座,检1个面,H11,未关联已发布配方
型号C,来料单品检,冷指保护筒,检1个面,I11,未关联已发布配方
型号C,来料单品检,阀钉,检1个面,J11,未关联已发布配方
型号C,装配前打包成组检,大底座,检4个面,K11,未关联已发布配方
型号C,装配前打包成组检,压缩端盖,检1个面,L11,未关联已发布配方
型号C,装配前打包成组检,转子外罩,检1个面,M11,未关联已发布配方
型号C,装配前打包成组检,阀钉,检1个面,P11,未关联已发布配方
型号C,入库前半成品检,大底座,检2个面,Q11,未关联已发布配方
型号C,入库前半成品检,阀钉,检1个面,T11,未关联已发布配方
型号D,来料单品检,大底座,检4个面,B12,未关联已发布配方
型号D,来料单品检,压缩端盖,检1个面,C12,未关联已发布配方
型号D,来料单品检,转子外罩,检1个面,D12,未关联已发布配方
型号D,来料单品检,冷指基座,检1个面,H12,未关联已发布配方
型号D,来料单品检,冷指保护筒,检1个面,I12,未关联已发布配方
型号D,来料单品检,阀钉,检1个面,J12,未关联已发布配方
型号D,装配前打包成组检,大底座,检4个面,K12,未关联已发布配方
型号D,装配前打包成组检,压缩端盖,检1个面,L12,未关联已发布配方
型号D,装配前打包成组检,转子外罩,检1个面,M12,未关联已发布配方
型号D,装配前打包成组检,阀钉,检1个面,P12,未关联已发布配方
型号D,入库前半成品检,大底座,检2个面,Q12,未关联已发布配方
